#Scenario,Hour,Power Availability (pu)
1,1,0.28
1,2,0.27
1,3,0.34
1,4,0.28
1,5,0.25
1,6,0.29
1,7,0.34
1,8,0.43
1,9,0.36
1,10,0.3
1,11,0.18
1,12,0.15
1,13,0.12
1,14,0.11
1,15,0.09
1,16,0.09
1,17,0.09
1,18,0.13
1,19,0.16
1,20,0.24
1,21,0.29
1,22,0.25
1,23,0.28
1,24,0.27
2,1,0.28
2,2,0.27
2,3,0.34
2,4,0.28
2,5,0.25
2,6,0.29
2,7,0.34
2,8,0.43
2,9,0.36
2,10,0.3
2,11,0.18
2,12,0.15
2,13,0.12
2,14,0.11
2,15,0.09
2,16,0.09
2,17,0.09
2,18,0.13
2,19,0.16
2,20,0.24
2,21,0.29
2,22,0.25
2,23,0.26
2,24,0.31
3,1,0.28
3,2,0.27
3,3,0.34
3,4,0.3
3,5,0.26
3,6,0.3
3,7,0.33
3,8,0.38
3,9,0.39
3,10,0.29
3,11,0.22
3,12,0.15
3,13,0.12
3,14,0.09
3,15,0.1
3,16,0.11
3,17,0.12
3,18,0.14
3,19,0.17
3,20,0.23
3,21,0.26
3,22,0.27
3,23,0.27
3,24,0.27
4,1,0.28
4,2,0.27
4,3,0.34
4,4,0.28
4,5,0.25
4,6,0.29
4,7,0.34
4,8,0.43
4,9,0.36
4,10,0.31
4,11,0.16
4,12,0.15
4,13,0.11
4,14,0.11
4,15,0.09
4,16,0.09
4,17,0.1
4,18,0.13
4,19,0.15
4,20,0.22
4,21,0.3
4,22,0.23
4,23,0.26
4,24,0.29
5,1,0.28
5,2,0.27
5,3,0.34
5,4,0.28
5,5,0.25
5,6,0.29
5,7,0.34
5,8,0.43
5,9,0.36
5,10,0.3
5,11,0.18
5,12,0.15
5,13,0.12
5,14,0.11
5,15,0.09
5,16,0.1
5,17,0.13
5,18,0.11
5,19,0.16
5,20,0.23
5,21,0.26
5,22,0.23
5,23,0.26
5,24,0.32
